[00:39:29.531] [info] [Node 0] starting on 127.0.0.1:50050
[00:39:30.865] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.895] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.895] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.925] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.925] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.955] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.955] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.985] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.986] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.015] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.016] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.046] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.046] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.076] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.076] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.106] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.106] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.136] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.136] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.166] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.166] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.196] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.197] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.226] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.227] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.257] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.257] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.287] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.287] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.317] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.317] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.347] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.347] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.377] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.377] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.407] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
