[00:39:29.539] [info] [Node 2] starting on 127.0.0.1:50052
[00:39:35.204] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.234] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.265] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.295] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.325] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.355] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.385] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.415] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.445] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.475] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.506] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.536] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.566] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.596] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.626] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.656] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.686] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.717] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.747] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.777] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.807] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.837] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.868] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.898] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.928] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.958] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=7
[00:39:35.989] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:35.989] [debug] [Node 2] [term=3] [Leader] commitIndex advanced to 8
[00:39:35.996] [debug] [Node 2] [KvStore] applied Get key=greeting at index=7
[00:39:35.996] [debug] [Node 2] [KvStore] applied Get key=demo_key at index=8
[00:39:36.019] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:36.049] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:36.079] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:36.109] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:36.140] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:36.170] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:36.200] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=8
[00:39:36.231] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.231] [debug] [Node 2] [term=3] [Leader] commitIndex advanced to 9
[00:39:36.237] [debug] [Node 2] [KvStore] applied Get key=city at index=9
[00:39:36.260] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.290] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.321] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.351] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.381] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.411] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.441] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=9
[00:39:36.472] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.472] [debug] [Node 2] [term=3] [Leader] commitIndex advanced to 10
[00:39:36.479] [debug] [Node 2] [KvStore] applied Put key=after_crash at index=10
[00:39:36.501] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.532] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.562] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.592] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.622] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.652] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.682] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=10
[00:39:36.713] [debug] [Node 2] [term=3] [Leader] replicated to Node 1, matchIndex=11
[00:39:36.713] [debug] [Node 2] [term=3] [Leader] commitIndex advanced to 11
[00:39:36.721] [debug] [Node 2] [KvStore] applied Get key=after_crash at index=11
