[19:33:13.438] [info] [Node 1] starting on 127.0.0.1:50051
[19:33:14.709] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.710] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.740] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.740] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.770] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.770] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.800] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.800] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.831] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.831] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.861] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.861] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.891] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.891] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.921] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.921] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.952] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.952] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.982] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.982] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:15.012] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:15.013] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
